comparison,left_condition_id,right_condition_id,metric,pair_key,matched_seeds,n_pairs,left_mean,right_mean,mean_diff_right_minus_left,ci_95_lower,ci_95_upper,cohens_d,diff_shapiro_w,diff_shapiro_p,diff_shapiro_decision_alpha_0_05,wilcoxon_stat,wilcoxon_p,wilcoxon_decision_alpha_0_05,wilcoxon_p_bh_fdr,wilcoxon_decision_bh_fdr_alpha_0_05,t_stat,p_value,decision_alpha_0_05
Qwen Base->QLoRA @k0,qwen_base_k0,qwen_qlora_k0,ts,seed+example_id,"7,17,27",0,,,,,,,,,insufficient_n,,,insufficient_n,,fail_to_reject_H0,,,insufficient_n
Qwen Base->QLoRA @k0,qwen_base_k0,qwen_qlora_k0,va,seed+example_id,"7,17,27",600,0.825,0.805,-0.019999999999999907,-0.04925701658085515,0.009257016580855336,-0.0548088682250263,0.4998558025880121,6.345445525600129e-38,reject_normality,1377.0,0.17971249487899976,fail_to_reject_H0,0.21565499385479972,fail_to_reject_H0,-1.3425376053075742,0.17993030061272355,fail_to_reject_H0
Qwen Base->QLoRA @k3,qwen_base_k3,qwen_qlora_k3,em,seed+example_id,"7,17,27",600,0.3566666666666667,0.3016666666666667,-0.05499999999999999,-0.08696110032090366,-0.023038899679096322,-0.137972280785935,0.5466381354988259,1.3281630907905846e-36,reject_normality,1568.0,0.0008062436020126934,reject_H0,0.00120936540301904,reject_H0,-3.3796168657354837,0.0007730476106314016,reject_H0
Qwen Base->QLoRA @k3,qwen_base_k3,qwen_qlora_k3,ex,seed+example_id,"7,17,27",600,0.61,0.53,-0.07999999999999996,-0.11500212772463844,-0.04499787227536148,-0.18325102737211652,0.5976665454688213,4.969071582635999e-35,reject_normality,2082.5,9.926965020952818e-06,reject_H0,1.70176543216334e-05,reject_H0,-4.48871511902479,8.595488906642039e-06,reject_H0
Qwen Base->QLoRA @k3,qwen_base_k3,qwen_qlora_k3,ts,seed+example_id,"7,17,27",517,0.6750483558994197,0.5783365570599613,-0.09671179883945835,-0.13496886928219826,-0.05845472839671844,-0.2184190105612686,0.604337570188528,1.1071175916544238e-32,reject_normality,1498.0,1.1952142126501707e-06,reject_H0,1.792821318975256e-06,reject_H0,-4.966331521178323,9.290269308196116e-07,reject_H0
Qwen Base->QLoRA @k3,qwen_base_k3,qwen_qlora_k3,va,seed+example_id,"7,17,27",600,0.8916666666666667,0.895,0.0033333333333332993,-0.016859216536649176,0.023525883203315775,0.013235442252732914,0.31964586848653986,3.202832077374566e-42,reject_normality,351.0,0.7456027889274615,fail_to_reject_H0,0.7456027889274615,fail_to_reject_H0,0.32420080039268695,0.745899190822253,fail_to_reject_H0
Qwen Base->ReAct @k3,qwen_base_k3,qwen_react_k3,em,seed+example_id,"7,17,27",600,0.3566666666666667,0.40166666666666667,0.044999999999999984,-0.00013031941313294132,0.0901303194131329,0.07994567668480716,0.7368840516947962,9.956346430170861e-30,reject_normality,7872.0,0.05074245344831123,fail_to_reject_H0,0.06089094413797347,fail_to_reject_H0,1.9582611501929545,0.05066310276910765,fail_to_reject_H0
Qwen Base->ReAct @k3,qwen_base_k3,qwen_react_k3,ex,seed+example_id,"7,17,27",600,0.61,0.6583333333333333,0.04833333333333334,0.006432090703550115,0.09023457596311657,0.09248487655756275,0.7002951614728874,2.6374575746475613e-31,reject_normality,5644.0,0.023967679822589225,reject_H0,0.02614655980646097,reject_H0,2.2654075649031835,0.023843913973714118,reject_H0
Qwen Base->ReAct @k3,qwen_base_k3,qwen_react_k3,ts,seed+example_id,"7,17,27",516,0.6666666666666666,0.7073643410852714,0.04069767441860472,-0.0021056099663740654,0.08350095880358352,0.08223138150998562,0.671271527576502,2.182753433932737e-30,reject_normality,3392.0,0.06239916795932654,fail_to_reject_H0,0.06239916795932654,fail_to_reject_H0,1.8679379149749713,0.062338405283277463,fail_to_reject_H0
Qwen Base->ReAct @k3,qwen_base_k3,qwen_react_k3,va,seed+example_id,"7,17,27",600,0.8916666666666667,0.9366666666666666,0.04499999999999993,0.018836445527629326,0.07116355447237054,0.13790075535396046,0.43507400796354645,1.3502082882131797e-39,reject_normality,627.0,0.0008112199516967843,reject_H0,0.0013906627743373447,reject_H0,3.377864857615791,0.0007778959511550272,reject_H0
Qwen QLoRA k0->k3,qwen_qlora_k0,qwen_qlora_k3,em,seed+example_id,"7,17,27",600,0.01,0.3016666666666667,0.2916666666666667,0.2551933439456783,0.3281399893876551,0.6411539841352849,0.5700979785644704,6.724482035411011e-36,reject_normality,0.0,5.9869644571231545e-40,reject_H0,3.592178674273893e-39,reject_H0,15.705001076839489,8.4149092724293675e-47,reject_H0
Qwen QLoRA k0->k3,qwen_qlora_k0,qwen_qlora_k3,ex,seed+example_id,"7,17,27",600,0.435,0.53,0.09500000000000003,0.06469346450189499,0.12530653549810505,0.25132644544786187,0.5064488943893279,9.602013185129892e-38,reject_normality,782.0,2.297748497798936e-09,reject_H0,9.190993991195743e-09,reject_H0,6.156215502146933,1.3652511564568978e-09,reject_H0
Qwen QLoRA k0->k3,qwen_qlora_k0,qwen_qlora_k3,ts,seed+example_id,"7,17,27",0,,,,,,,,,insufficient_n,,,insufficient_n,,fail_to_reject_H0,,,insufficient_n
Qwen QLoRA k0->k3,qwen_qlora_k0,qwen_qlora_k3,va,seed+example_id,"7,17,27",600,0.805,0.895,0.08999999999999997,0.06276031050275957,0.11723968949724037,0.26490565722857584,0.44073457622102874,1.862418445117594e-39,reject_normality,375.0,3.4434244523418616e-10,reject_H0,2.066054671405117e-09,reject_H0,6.488836901866333,1.8140787691893388e-10,reject_H0
Qwen QLoRA->ReAct @k3,qwen_qlora_k3,qwen_react_k3,em,seed+example_id,"7,17,27",600,0.3016666666666667,0.40166666666666667,0.09999999999999998,0.05118942178223682,0.14881057821776314,0.16426193101866898,0.7688768312405221,3.3543109531435356e-28,reject_normality,9618.0,7.079528641295996e-05,reject_H0,0.00012136334813650279,reject_H0,4.023579151599877,6.466158646790912e-05,reject_H0
Qwen QLoRA->ReAct @k3,qwen_qlora_k3,qwen_react_k3,ex,seed+example_id,"7,17,27",600,0.53,0.6583333333333333,0.1283333333333333,0.084735066643703,0.1719316000229636,0.236004958436142,0.7187811789396179,1.5761813666342003e-30,reject_normality,5170.0,1.793780650773718e-08,reject_H0,4.305073561856923e-08,reject_H0,5.780917249353002,1.1962059700306206e-08,reject_H0
Qwen QLoRA->ReAct @k3,qwen_qlora_k3,qwen_react_k3,ts,seed+example_id,"7,17,27",520,0.5576923076923077,0.7,0.14230769230769225,0.09669746097731652,0.18791792363806797,0.26879827904279163,0.7045062959588131,3.1891701023984467e-29,reject_normality,3218.5,3.127886627901199e-09,reject_H0,3.753463953481438e-09,reject_H0,6.129543841470635,1.7454964491380388e-09,reject_H0
Qwen QLoRA->ReAct @k3,qwen_qlora_k3,qwen_react_k3,va,seed+example_id,"7,17,27",600,0.895,0.9366666666666666,0.04166666666666663,0.01672672637979512,0.06660660695353814,0.13395046492967672,0.4104708802284822,3.4378840260434124e-40,reject_normality,510.0,0.0011350310182062168,reject_H0,0.0017025465273093252,reject_H0,3.281102898862812,0.0010940954144306682,reject_H0
